Epoch,VA0,VA0.125,VA0.2,VA0.25,VA0.375,VA0.5,TA0,TA0.125,TA0.2,TA0.25,TA0.375,TA0.5
0,56.73999786,51.26000047,51.30000114,43.57999861,31.25999868,26.19999945,35.09777784,33.64444375,31.77333474,26.99333429,20.55777758,20.0933
1,74.14000034,68.36000085,66.74000025,60.3399992,47.93999791,51.03999972,61.87333465,58.64444375,55.76444268,49.62888956,36.3422215,35.6467
2,79.5599997,76.83999538,73.83999825,68.91999841,57.48000145,56.09999895,72.97555804,71.89555764,67.47111082,61.57333255,50.87555647,48.5889
3,82.3399961,81.61999583,76.13999844,74.21999574,64.8999989,60.39999723,78.9244473,77.96222568,74.23999906,69.42444444,59.21555758,56.5222
4,85.01999974,83.15999508,80.87999821,76.94000006,67.35999584,68.99999976,82.03999996,81.81555867,78.42444777,74.34666753,65.47333598,61.2533
5,85.19999981,84.88000035,82.91999698,79.60000038,71.37999535,66.85999632,84.83111262,84.7266674,81.49333596,77.73555517,69.77555752,64.9222
6,86.67999506,86.01999879,84.53999758,82.29999542,75.95999837,68.72000098,86.90444827,86.85333133,83.5622251,80.43777943,72.96222448,68.7844
7,87.00000048,85.11999846,85.24000049,82.9400003,76.5599966,74.81999993,88.7422204,88.52666616,85.54888964,82.58444667,75.65777898,71.4133
8,86.97999716,87.05999851,86.37999892,85.61999798,79.65999842,76.26000047,90.23555517,90.03111124,87.48444319,84.19555426,77.27777958,73.2089
9,87.37999797,87.03999519,85.99999547,85.8799994,78.93999815,75.43999553,91.5022254,91.24222398,88.83555532,85.50444245,79.21555638,75.2333
10,88.37999701,88.37999701,86.43999696,87.57999539,81.90000057,77.57999897,92.61333346,92.26444364,89.55111504,86.83778048,80.30222058,76.8889
11,88.23999763,87.54000068,85.51999927,87.45999932,79.96000051,79.35999632,93.76888871,93.32000017,90.85333347,87.91555762,81.60666823,78.0733
12,87.95999885,88.19999695,87.31999993,85.8799994,82.15999603,81.13999963,94.18666959,93.92889142,91.68444276,88.88888955,82.81333447,79.2644
13,88.61999512,88.33999634,87.89999485,87.91999817,82.77999759,80.89999557,94.92444396,94.59555745,92.4333334,89.60222602,83.88222456,80.3311
14,87.93999553,88.65999579,88.61999512,87.89999485,84.07999873,82.22000003,95.69333196,95.48000097,93.32888722,90.56666493,84.86444354,81.0867
15,88.83999586,88.76000047,87.61999607,88.01999688,84.21999812,82.27999806,96.21111155,95.92000246,93.72888803,91.42667055,85.93333364,82.2489
16,88.45999837,89.3599987,88.01999688,87.39999533,84.89999771,83.31999779,96.27777934,96.31333351,94.437778,91.51777625,86.41777635,82.8844
17,88.22000027,88.87999654,88.25999498,88.43999505,83.59999657,82.8799963,96.80889249,96.67333364,95.15111446,92.41777658,87.10222244,83.8889
18,89.15999532,88.37999701,88.5199964,88.73999715,86.37999892,83.93999934,97.04666734,97.07555771,95.49111128,93.09333563,87.7399981,84.2711
19,89.25999999,89.8999989,89.62000012,88.5800004,85.51999927,83.31999779,97.58444428,97.23333716,95.68666816,93.32888722,88.35555911,85.26
